Date,FOLD,CMRX,CASC,BPMC,UTHR,ALKS,BIIB,SYNH,AGIO,TLGT,DERM,HZNP,CHRS,CBPO,AMPH,RGEN,PTLA,IONS,PRTA,CERS,GILD,TXMD,RIGL,ARDX,MGNX,MYL,ILMN,ADRO,FGEN,LGND,OMER,ICPT,INVA,EPZM,GERN,RVNC,PCRX,ARNA,ESPR,LXRX,GLPG,CLLS,VNDA,ECYT,PBYI,VRTX,FPRX,PRTK,PTCT,BCRX,ARWR,EGRX,PRAH,FLXN,NBIX,ALNY,SHPG,RDUS,CALA,ACAD,TECH,CRIS,AMAG,AERI,AUPH,GWPH,BLCM,ATRA,DBVT,FOMX,QURE,REGN,JUNO,GRFS,CNCE,CCXI,CLDX,AKBA,PDLI,ABUS,IMMU,INCY,TTPH,PGNX,CORI,ASND,CYTK,GLYC,MRNS,AMGN,IMGN,NVAX,SGEN,RTRX,ANIP,EXEL,NERV,OPK,BLUE,KPTI,ENDP,AMRN,HALO,SPPI,RARE,INO,SUPN,MNKD,XNCR,ITCI,CLVS,XLRN,PACB,IOVA,CRBP,IRWD,ACOR,USD,INSM,SGMO,BMRN,SRPT,ENTA,VCYT,TBPH,MNTA,CARA,NSTG,ADMS,SAGE,LMNX,ALXN,AVDL,ZGNX,JAZZ,MYGN,NKTR
2015/5/5,10.27999973,34.90999985,8.519980431,20.81999969,169.7599945,55.74000168,385.7999878,34.77000046,94.62999725,5.090000153,14.34000015,28.81999969,22.14999962,98.48000336,14.11999989,31.10000038,36.18999863,58.34000015,31.59000015,4.489999771,88.59581757,6.420000076,4,10.90999985,27.17000008,72.88999939,187.0399933,27.70999908,23.55999947,77.66999817,20.77000046,257.9500122,16.11186028,16.17000008,3.880000114,20.22999954,65.77999878,42.09999847,97,7.210000038,41.58000183,31.45000076,9.090000153,5.699999809,178.4499969,122.1500015,20.89999962,27.05999947,53.13000107,9.260000229,6.929999828,55.38000107,29.06999969,18.52000046,35.61000061,104.0299988,239.1900024,36.04000092,9.5,35.68999863,92.59513092,13.44999981,55.61999893,10.60999966,3.849999905,107.9000015,225.3999939,39.08000183,26.28000069,10.31000042,24.70000076,465.5,43.27999878,14.29129696,14.53999996,6.989999771,364.6499939,7.849999905,5.754178524,14.22000027,3.799999952,97.5,715.5999756,5.019999981,9.479999542,16.12999916,5.510000229,8.489999771,7.5,138.4752808,8.130000114,153.1999969,35,21.62000084,55.59999847,2.859999895,5.170000076,13.88000011,133.0599976,29.78000069,84.66999817,1.899999976,15.11999989,5.989999771,62.63000107,8.270000458,12.53999996,20.85000038,13.81000042,21.02000046,79.72000122,27.12000084,5.829999924,11.88000011,3.299999952,11.29815769,29.13999939,13.99454594,21.02000046,12.23999977,113.9199982,13.25,34.75,8.539999962,16.21999931,18.79999924,10.14000034,12.05000019,17.36000061,54.75,15.84552193,168.5500031,14.35000038,11.19999981,176.4199982,34.54000092,11.17000008
2015/5/6,10.60000038,35.04000092,8.639980316,21.37000084,168.0200043,55.79999924,383.5599976,32.54000092,96.13999939,5.269999981,14.67000008,28.53000069,21.95000076,99.08000183,13.80000019,31.97999954,37.49000168,60.36999893,31.22999954,4.670000076,87.97646332,6.039999962,4.179999828,8.319999695,27.85000038,71.05000305,188.5500031,27.98999977,23.44000053,78.44999695,21.45000076,264.6400146,15.1024437,16.51000023,3.890000105,20.70000076,68.54000092,41.29999924,100.8700027,7.210000038,38.59999847,31.10000038,9.31000042,5.739999771,185.6100006,122.9300003,21.34000015,27.92000008,55,9.470000267,6.869999886,56.84000015,29,19.98999977,36.65999985,105.7099991,237,37.58000183,9.020000458,36.77000046,93.41196442,13.10000038,56.81999969,10.71000004,3.650000095,108.7900009,233.6000061,38.02999878,25.54000092,10.31000042,27.55999947,470.0100098,44.00999832,14.26873398,14.76000023,6.679999828,369,7.539999962,5.763031483,14.42000008,3.710000038,100.5400009,737.7999878,5.53000021,9.319999695,16.17000008,5.699999809,8.270000458,7.340000153,138.0497131,8.039999962,157.6000061,37.27000046,22,52.27999878,2.950000048,5.099999905,14,139.6199951,28.80999947,84.63999939,1.970000029,15.18000031,5.940000057,64.5,8.090000153,12.31000042,20.79999924,13.96000004,21.37000084,79.91000366,28.42000008,5.980000019,11.53999996,3.619999886,11.61641502,29.35000038,13.86539268,21.10000038,12.43999958,119.6999969,14.76000023,35.34999847,8.550000191,15.51000023,19.30999947,10.03999996,11.98999977,17.53000069,55.15999985,15.62477493,155.0099945,14.47999954,11.11999989,174.8999939,33.66999817,11.40999985
2015/5/7,10.53999996,35.66999817,8.759980202,22.5,172.6799927,56.72999954,383.2900085,30.05999947,99.12999725,5.260000229,14.59000015,29.38999939,21.44000053,98.93000031,13.80000019,37.54999924,37.13000107,60.43000031,31.12000084,4.539999962,87.56352997,6.099999905,4.03000021,8.659999847,29.73999977,70.38999939,190.8200073,28.62000084,23.86000061,79,21.20999908,268.6099854,15.1024437,17.38999939,3.910000086,20.42000008,71.52999878,41.5,99.98000336,7,40.16999817,31.54999924,9.739999771,5.769999981,190.5800018,125.0500031,21.45000076,27.44000053,55.13000107,9.449999809,6.860000134,56.31999969,28.86000061,20.09000015,37.43000031,106.6299973,239.6000061,36.74000168,9.520000458,36.56000137,92.88008881,13.69999981,58,10.43999958,3.75,110.1200027,234.6999969,36.66999817,25.37999916,10.76000023,28.32999992,468.6199951,44.43999863,14.43118668,14.76000023,7,371.3999939,7.489999771,5.807294369,13.86999989,3.799999952,102.0800018,777,5.260000229,9.989999771,16.13999939,5.989999771,8.229999542,7.409999847,137.1377563,8.239999771,157.8000031,38.04000092,22.45999908,53.09999847,3.109999895,5.150000095,14.14000034,152.4199982,28.43000031,86.33000183,1.980000019,15.15999985,5.889999866,61.90000153,8.079999924,13,20.10000038,14.21000004,21.86000061,78.48999786,29.5,5.96999979,11.57999992,3.453999996,11.39028454,29.75,14.17471981,21.70000076,12.72999954,120.3600006,15.03999996,33.72000122,8.579999924,15.27000046,19.31999969,10.02999973,12.25,17.65999985,54.86000061,16.04706573,162.9600067,14.71000004,11.19999981,176.9499969,32.65999985,11.31999969
2015/5/8,10.80000019,36.45999908,10.5,23.60000038,178.9100037,59.25,398.4299927,30.29999924,108.9599991,5.03000021,14.77999973,27.62000084,21.06999969,102.0199966,13.89999962,37.38999939,38.31000137,61.93999863,31.64999962,4.650000095,89.33559418,6.070000172,3.74000001,8.859999657,29.09000015,71.30999756,195.8099976,30.85000038,23.98999977,80.51000214,20.79999924,276.519989,15.52950478,18,3.849999905,20.36000061,74.20999908,42.40000153,103.5400009,7.28000021,41.5,31.64999962,9.960000038,5.909999847,200.0800018,127.4100037,21.92000008,26.55999947,54.04000092,10.09000015,7.039999962,59.02999878,29.22999954,18.89999962,39.54999924,112.7900009,245.8300018,37.99000168,13.86999989,37.93999863,93.6209259,13.69999981,59.33000183,11.18999958,3.940000057,109.9100037,245.8999939,37.36999893,25.20999908,10.57999992,28.61000061,481.2900085,46.16999817,14.4402113,13.78999996,7.210000038,387.6000061,7.559999943,5.904672623,14.17000008,3.980000019,103.8300018,810,5.590000153,9.979999542,16.44000053,6.380000114,8.399999619,7.909999847,140.993927,8.619999886,164.6000061,41.13000107,22.87000084,52.93000031,3.430000067,5.210000038,14.13000011,163.7200012,28.73999977,87.04000092,1.850000024,15.59000015,5.679999828,63,8.010000229,13.17000008,19.04999924,14.59000015,21.90999985,82.87000275,31.25,6.090000153,11.22000027,3.630000114,12.00167465,30.34000015,14.49201488,22.28000069,13.35000038,121.6600037,14.71000004,35.29999924,8.81000042,15.10999966,19.85000038,10.06999969,13.09000015,17.53000069,55.99000168,16.31579781,163.0200043,16.27000046,11.19999981,175.4400024,33.36999893,11.35999966
2015/5/11,10.76000023,37.68999863,9.179980278,24.95499992,179.2799988,59.50999832,396.9100037,32,108.5,5.269999981,14.98999977,28.26000023,21.07999992,103.2099991,14.61999989,38.65999985,37.99000168,62.11999893,31.47999954,4.769999981,90.09262848,6.050000191,3.769999981,9,30.23999977,71.62999725,197.5399933,30.78000069,24.61000061,84.43000031,21.05999947,280.269989,15.62656403,18.26000023,3.930000067,20.56999969,75.09999847,41.5,104.3000031,7.349999905,42.54999924,31.67000008,9.880000114,5.96999979,200.9799957,124.0800018,20.90999985,27.29999924,54.88999939,10.31999969,6.690000057,58.36000061,29.39999962,18.59000015,39.63000107,113.5100021,244.7700043,41.47999954,12.81000042,38.36999893,93.33599854,13.94999981,60.74000168,11.42000008,3.819999933,111.9199982,249.6000061,37.70000076,25.20999908,10.67000008,28.87000084,477.5599976,45.58000183,14.49435997,14.01000023,7.199999809,385.0499878,7.880000114,5.904672623,14.38000011,4.019999981,104.6100006,833.2000122,5.579999924,10.40999985,16.52000046,6.650000095,8.359999657,7.900000095,139.8735809,8.630000114,170.3999939,39.75,23.65999985,52.25,3.400000095,5.210000038,14.30000019,165.4499969,29.45000076,86.66000366,1.929999948,15.36999989,6.059999943,67.22000122,8.010000229,13.15999985,18.14999962,14.86999989,22.81999969,86.58000183,31.86000061,6.170000076,10.72000027,3.839999914,11.78391933,30.20000076,14.31502914,22.13999939,13.06000042,120.9599991,15.03999996,35.66999817,8.819999695,14.89999962,20.17000008,10.02000046,12.69999981,17.81999969,56.58000183,16.18143463,161.0399933,16.84000015,11.03999996,176.5099945,34.31999969,11.47000027
2015/5/12,10.86999989,38.31999969,8.639980316,25.04000092,173.4100037,58.72999954,395.2999878,32.25999832,111.4300003,5.099999905,14.98999977,28.61000061,21.10000038,100.6399994,14.39999962,39.88000107,37.84999847,61.90000153,31.20999908,4.769999981,90.80661774,6.110000134,3.960000038,9.06000042,30.69000053,70.33000183,196.9700012,32.09000015,23.80999947,84.13999939,21.79000092,293.5100098,15.46156311,17.85000038,3.869999886,20.23999977,75.5,42.40000153,105.5999985,7.070000172,43,31.72999954,9.890000343,6.03000021,204,124.0800018,21.01000023,26.86000061,54.97000122,10.56000042,6.269999981,59.54000092,30.12999916,18.54999924,40.04000092,113.8099976,244.1399994,42.22000122,13.55000019,38.86000061,93.6114502,14.69999981,60.61000061,11.60999966,3.75,112.1900024,244.6000061,40.24000168,25.59000015,10.22999954,28.29000092,479.3999939,45.45999908,14.55302429,14.32999992,7.179999828,388.0499878,7.809999943,5.807294369,14.26000023,4.010000229,105,812.2000122,5.460000038,11.32999992,16.80999947,6.510000229,8.56000042,7.989999771,138.1105042,8.56000042,170.1999969,40.13000107,24.20000076,52.18999863,3.680000067,5.110000134,14.81000042,166.2100067,30.26000023,84.59999847,1.899999976,16.02000046,6.670000076,72.26999664,8.100000381,13.22999954,18.25,14.72999954,22.79999924,85.83999634,32.04999924,6.119999886,10.19999981,4,11.45728683,29.96999931,14.14601707,22.31999969,12.89000034,121.0899963,15.21000004,36.25,8.81000042,14.5,19.97999954,9.949999809,12.77000046,17.82999992,57.93000031,16.03746605,161.0800018,17.89999962,10.88000011,176.6000061,34.65999985,11.28999996
2015/5/13,10.46000004,38.70000076,8.879980087,26.09000015,175.4700012,58.50999832,390.0400085,32.74000168,113.2799988,5.159999847,14.92000008,28.15999985,21.22999954,99.91000366,15.21000004,40.00999832,37.54000092,60.84000015,31.44000053,4.690000057,91.52062225,6.239999771,4.099999905,8.960000038,29.68000031,70.84999847,198.2299957,33.68999863,23.60000038,83.80999756,20.89999962,298.6000061,15.55862331,16.98999977,3.839999914,20.29000092,74.38999939,43,104.9700012,7,43.20000076,32.47000122,9.729999542,6.019999981,209.7200012,125.5199966,21,26.98999977,55.50999832,10.30000019,6.170000076,60,29.55999947,17.80999947,42.34000015,114.3899994,243.3800049,42.75999832,12.89999962,38.91999817,94.23079681,15.10000038,60.20999908,11.35000038,3.869999886,112.0299988,254,38.43999863,25.71999931,11.25,28,477.4599915,46.11999893,14.65230274,14.10000038,7.239999771,390.4500122,7.710000038,5.736474037,13.93000031,4.130000114,104.2600021,789.5999756,5.420000076,11.39960003,16.80999947,6.190000057,8.18999958,8.020000458,138.2414093,9.119999886,169.3999939,39.79000092,24.44000053,51.31000137,3.650000095,5.150000095,15.67000008,160.3399963,29.34000015,83.88999939,1.860000014,16.26000023,6.769999981,73.76000214,7.860000134,13.25,18.14999962,14.61999989,22.39999962,86,31.89999962,6.099999905,10.35000038,4,11.49916267,29.79000092,14.32619095,22.29000092,12.47999954,121.4700012,14.86999989,36.41999817,8.649999619,14.93000031,19.78000069,9.859999657,12.46000004,17.79999924,57.29000092,16.14304161,159.4100037,16.77000046,11.03999996,173.9600067,34.06999969,10.93000031
2015/5/14,10.5,39.84000015,12.11999989,29.02000046,173.5299988,60,394.3500061,33.27999878,113.4700012,5.230000019,15.03999996,28.39999962,22.62999916,100.8899994,15.40999985,41.36999893,37.56000137,62.45000076,31.84000015,4.650000095,93.54217529,6.630000114,4.199999809,8.920000076,30.42000008,71.52999878,198.9199982,32.86999893,21.38999939,84.12000275,20.88999939,307.0700073,15.59744549,17.53000069,3.910000086,24.29000092,76.87999725,42.5,107.7399979,7.070000172,50.5,31.38999939,9.920000076,6.019999981,170.6699982,123,21.17000008,27.79999924,54.33000183,10.55000019,6.309999943,61.22999954,30.44000053,18.64999962,41.93999863,115.8700027,250.4600067,45.11000061,12.14000034,39.04999924,96.16516113,16.10000038,61.20999908,11.25,4,112.3199997,243.8999939,37.58000183,25.52000046,11.31999969,27.10000038,491.4299927,44.88999939,14.73352909,14.18000031,7.300000191,386.25,8.050000191,5.727620602,13.85000038,4.070000172,106.7799988,800.5999756,5.650000095,10.96000004,17.37999916,6.019999981,8.520000458,8.090000153,141.3747559,8.550000191,172.6000061,40.24000168,24.65999985,51.56999969,3.470000029,5.070000172,16.68000031,157.3999939,26.82999992,85.01999664,1.899999976,16.30999947,6.820000172,75.5,7.989999771,13.42000008,18.14999962,14.93999958,23.18000031,100.4000015,31.86000061,6.079999924,10.10000038,3.900000095,11.95979881,29.89999962,14.74234581,22.84000015,11.51000023,122.6500015,15.31999969,37.79999924,8.569999695,14.93000031,20.01000023,10.13000011,13.09000015,17.96999931,58.29000092,16.04706573,161.6900024,16.32999992,11.27999973,175.5,34.15999985,10.93000031
2015/5/15,10.52999973,40.15000153,14.57999992,28.55999947,172.75,60,391.2399902,33.31999969,112.7799988,5.659999847,14.97000027,29.03000069,24.04999924,101.5599976,15.27000046,41.63000107,37.20999908,62.54999924,30.98999977,4.610000134,94.02391815,6.550000191,4.090000153,8.949999809,30.84000015,70.66999817,199.0700073,31.46999931,20.37999916,84.20999908,20.87999916,306.230011,15.77215195,17.43000031,3.890000105,26.38999939,77.83000183,42.5,106.5299988,7.070000172,49.91999817,32.25,10.01000023,6.019999981,177.0099945,126.2099991,21.11000061,27.48999977,52.09000015,10.75,6.289999962,60.91999817,31.19000053,18.45000076,41.63000107,119.8399963,254.4499969,46.22999954,11.86999989,39.16999817,96.26043701,15.80000019,61.97000122,11.26000023,3.890000105,112.25,230.1999969,37.29999924,25.52000046,11.40999985,26.54000092,489.0100098,43.36999893,14.81926632,14.13000011,7.210000038,387.1499939,8.18999958,5.709915638,13.93999958,4.119999886,106.8600006,799.5999756,5.670000076,11.44999981,17.28000069,5.960000038,8.43999958,7.894999981,141.7064209,8.590000153,170.8000031,39.93999863,26.27000046,52.11999893,3.369999886,5.130000114,16.92000008,154.4199982,24.80999947,85.34999847,1.929999948,16.42000008,6.679999828,79.33999634,7.96999979,13.13000011,20,15.31999969,22.90999985,92.73999786,31.84000015,5.900000095,10.60000038,4,11.95979881,30.04000092,14.67537594,22.85000038,11.51000023,122.7799988,15.21000004,38.11999893,9.270000458,14.68999958,20.29000092,9.989999771,14.27000046,17.84000015,58.43999863,15.96068668,160.5599976,16.54000092,11.19999981,178.0099945,33.97999954,11.13000011
2015/5/18,10.97000027,41.04000092,15.53999996,28.73999977,179.3000031,60.47000122,395.4200134,33.24000168,115.9400024,5.550000191,14.97999954,29.20000076,24.59000015,103.1800003,15.14000034,41.72999954,37.65999985,64.33000183,32,4.599999905,95.4863205,6.739999771,4.050000191,9.220000267,32.83000183,71.37999725,200.7599945,30.12999916,19.89999962,87.81999969,20.98999977,313.980011,15.97597694,18.81999969,3.880000114,26.64999962,78.72000122,43.90000153,109.7900009,7.070000172,50.20000076,31.70000076,10.15999985,6.150000095,181.3000031,127.3099976,21.31999969,26.79000092,51.99000168,10.97999954,6.179999828,61.93999863,32.09999847,19.18000031,43.13999939,121.6200027,254.7100067,46.63000107,11.78999996,40.31000137,97.37530518,15.60000038,65.33000183,11.22000027,3.839999914,112.9300003,221.8000031,39.56000137,25.31999969,11.35999966,27.67000008,496.7399902,40.81000137,14.83731842,14.19999981,7.840000153,393.8999939,8.239999771,5.789588451,13.81999969,4.21999979,107.6500015,820,5.610000134,11.19999981,17.56999969,6.260000229,8.619999886,8.100000381,142.6490479,8.670000076,174.3999939,40.5,26.97999954,52.74000168,3.339999914,5.059999943,17.29999924,156.3999939,27.02000046,80.76999664,1.909999967,17.03000069,6.559999943,81.41000366,8.109999657,13.14999962,22,15.72999954,24.17000008,93.36000061,32.68000031,5.949999809,10.82999992,4.150000095,11.97654915,30.70999908,15.15530682,23.40999985,12.31000042,126.0199966,15.93000031,39.43999863,10.63000011,14.35000038,20.21999931,10.05000019,14.25,17.90999985,59.5,15.99908161,163.1600037,16.5,11.19999981,180.0599976,34.25,11.31999969
