Date,PH,APH,FISV,IQV,USB,PNR,FIS,AEP,TROW,MOS,ALXN,HBI,ADSK,DVA,ZBRA,WMT,AOS,UAA,BBY,VZ,CERN,VRTX,FFIV,DLTR,ABC
2016/1/5,0.0002786,0.000126975,2.09E-05,1.09E-06,2.31E-05,7.33E-05,4.00E-05,6.72E-05,1.70E-05,1.79E-05,1.42E-06,0.00060644,1.76E-06,4.27E-05,0.000647058,0.000551194,3.14E-05,3.76E-05,0.000261842,0.000186085,1.89E-06,2.07E-05,1.80E-05,0.000217173,0.000210842
2016/1/6,0.000178047,0.000573232,5.76E-05,3.06E-05,0.000231975,0.000537755,0.000345304,1.39E-05,0.000514041,0.004621779,2.02E-05,5.45E-06,0.000200935,0.000195615,0.001662764,9.93E-05,0.000399822,1.22E-05,0.001543293,8.24E-05,6.32E-05,9.86E-05,0.000245325,4.53E-05,0.000237289
2016/1/7,0.000292277,0.001347414,0.000132181,0.000559406,0.00036802,0.000715432,2.85E-08,0.000134245,0.000732696,0.001226674,0.002930783,0.000274298,0.003801203,6.33E-05,0.002150606,0.000529996,0.002508759,0.000561288,8.66E-05,3.03E-05,7.52E-07,0.00376018,0.001173557,0.000678296,0.001053171
2016/1/8,0.000330024,0.000228352,5.99E-05,1.51E-06,0.000203223,0.00033261,0.000326545,2.38E-06,0.000659331,0.000604415,0.001328014,0.00234855,0.000274596,5.46E-07,7.27E-06,0.000537268,0.001312545,0.001538264,0.001871839,9.54E-05,0.00033797,0.001419034,1.14E-05,7.14E-05,3.37E-05
2016/1/11,3.96E-06,6.01E-05,2.18E-05,6.68E-05,1.62E-05,9.44E-06,0.000191487,7.60E-05,2.88E-05,0.002077881,0.001544809,0.002510319,9.50E-06,4.26E-05,4.36E-05,0.000113317,0.000687823,0.004839216,0.000270419,3.34E-05,0.000651204,0.003969526,0.000224241,3.07E-05,0.0016505
2016/1/12,2.40E-06,0.000613108,0.00023897,7.72E-05,0.000356721,0.000183178,0.000311803,0.000105306,0.000666359,0.000988063,0.000744031,1.81E-05,6.40E-05,1.07E-05,0.000278211,8.81E-05,0.000190484,0.000950099,0.000552568,1.26E-05,0.001065589,8.92E-06,9.56E-05,0.000294921,1.62E-06
2016/1/13,7.68E-05,0.000350739,0.000793055,0.000458507,0.00163562,0.000530376,0.000213409,1.44E-05,0.000782302,0.000297526,0.002562569,0.000811593,0.005510742,0.000390619,0.003297495,0.000733578,0.00236284,1.51E-05,0.000858486,0.000306695,0.000199632,0.005289416,0.00022194,0.00174518,0.000123292
2016/1/14,0.000106339,1.18E-05,0.000626059,9.81E-06,0.000543363,9.44E-05,0.00039057,0.000413187,0.000118498,0.00139897,0.003322396,1.62E-05,0.001182874,0.000390619,0.000533154,0.000332818,0.000208596,0.000796513,0.010347262,0.000261674,5.77E-06,0.003124265,2.89E-06,8.47E-06,3.85E-05
2016/1/15,0.000887013,0.000700432,0.000367292,9.49E-05,0.000496624,0.000390058,0.000960349,5.83E-05,9.32E-05,0.00026336,0.002791986,0.000793602,0.004059705,0.000214207,0.000500977,0.000326961,0.000103689,0.00032065,0.000645305,9.71E-05,0.000610357,0.001603312,4.65E-05,2.81E-05,0.000103806
2016/1/19,1.86E-06,2.37E-06,0.000371611,9.97E-08,4.19E-06,0.000148254,1.82E-05,0.0002215,8.74E-05,0.000647636,0.000149753,0.00032624,0.001393364,0.000132241,4.49E-06,0.000102449,0.000227139,0.00050161,0.002191987,9.71E-05,4.51E-05,0.000916704,4.57E-08,0.000436628,6.16E-06
2016/1/20,0.000243312,0.00056239,1.02E-06,3.02E-06,4.44E-05,0.000626936,0.000197835,0.000789007,5.18E-05,0.001363065,0.000393383,8.38E-05,4.22E-05,2.09E-05,0.000103687,0.000777229,6.44E-05,1.17E-05,0.00063464,0.000101598,4.10E-05,0.00043415,0.001438655,0.000126514,0.000319728
2016/1/21,0.000272524,0.000725744,5.97E-05,0.000153975,8.18E-05,8.16E-05,7.62E-06,2.35E-05,5.18E-05,0.000808059,0.000767939,0.000455743,3.93E-07,1.03E-05,0.000897847,0.000287293,0.001128292,0.000636114,0.000777175,0.001031778,1.28E-05,0.000399776,3.23E-05,0.000170745,1.32E-05
2016/1/22,0.00044265,0.000363748,0.000417304,0.00032704,0.000476387,0.00027098,0.000567912,0.000234785,0.000790974,0.001009653,0.000532352,0.000162069,0.000573284,0.000654851,0.000281471,0.000169126,0.000478908,0.000612172,1.35E-07,0.000634397,0.000749907,1.44E-05,0.002161745,8.89E-06,2.24E-05
2016/1/25,0.000365112,0.00011524,0.000214439,9.29E-05,0.000773694,0.000140692,0.000102897,0.00017999,0.00092505,0.00393421,0.000864019,3.40E-05,0.000477706,0.000200297,0.000400885,0.000145209,0.00049264,0.001433366,5.42E-05,4.52E-08,0.000446685,0.000768813,2.55E-06,7.36E-05,8.78E-06
2016/1/26,0.001647187,6.84E-05,0.000186584,6.25E-05,0.000356661,0.0015155,0.000400773,6.02E-05,0.000352687,0.000395621,0.000153035,0.001529978,8.72E-05,7.41E-05,0.003041528,7.45E-05,0.00424602,0.000139395,0.001239467,0.000655884,3.64E-05,7.53E-07,0.000684693,0.000199643,1.20E-08
2016/1/27,7.60E-07,1.54E-05,0.000109167,0.000626761,1.67E-05,4.49E-05,0.000428456,2.95E-08,4.00E-05,0.000152017,0.00010016,3.97E-05,0.001654508,0.000146393,0.000466199,6.11E-07,0.001349483,0.000322188,0.000775349,0.000257174,1.52E-05,1.06E-05,0.000124558,1.29E-05,0.00014173
2016/1/28,0.000662138,2.09E-06,3.95E-05,0.000601184,1.04E-06,5.97E-05,0.000105163,0.000458904,0.001058303,0.000356182,0.001379556,0.000207728,0.000707172,0.000380782,0.000772661,1.78E-05,0.000764006,0.041472837,0.000122367,1.67E-07,3.67E-05,7.88E-06,0.000914504,0.000143613,0.001060908
2016/1/29,0.001037729,0.000512897,0.001455827,4.35E-05,0.000449081,0.001270543,0.000664469,0.000637375,0.001318431,0.00218252,4.82E-06,0.000996624,0.001133392,0.001647745,0.006562453,0.00107452,0.000835393,0.000257524,0.001223346,0.000376307,0.001294432,0.000479919,0.000188869,0.000905046,0.000659094
2016/2/1,6.67E-05,3.64E-05,4.05E-06,2.44E-05,4.24E-05,0.000109273,0.000243825,0.000178484,0.00012537,5.62E-05,0.00028197,0.000390365,0.000308782,1.86E-05,3.98E-05,0.000290126,2.96E-06,1.24E-05,0.00051328,0.000246046,4.55E-05,0.000320778,6.00E-06,6.53E-05,3.93E-05
2016/2/2,0.000117734,0.000182954,0.000201462,0.001434904,0.000714845,0.001981176,0.000366226,1.15E-05,0.000932436,0.006262716,0.001912297,0.001387333,0.001416427,0.000296081,0.001256168,9.08E-05,0.000505342,0.001403268,8.36E-05,0.00028519,0.00029427,0.000236514,0.001109636,1.26E-05,9.43E-05
2016/2/3,0.000618232,9.32E-06,0.000351185,2.14E-05,0.000184555,0.000356422,4.76E-06,0.000437183,7.45E-05,0.006329036,0.003696142,0.000183764,0.005919282,0.00015507,0.00089575,7.86E-05,1.95E-07,0.000182396,4.99E-07,0.000199529,0.000100266,0.000984554,8.15E-06,0.000678249,2.90E-06
2016/2/4,0.001169513,0.00011121,0.000327045,0.000275536,0.00043723,0.000869303,6.97E-05,0.000263817,0.000271323,0.001275265,1.17E-07,0.001255382,1.02E-06,2.33E-08,0.00047844,5.11E-06,1.05E-05,1.99E-05,1.12E-06,1.41E-05,0.00048961,0.000541813,8.81E-05,0.00139711,0.001735199
2016/2/5,1.41E-05,1.63E-07,0.000412175,0.001203772,2.49E-07,0.000144848,0.000736098,7.73E-05,0.000271323,5.84E-06,0.000673231,0.026693056,0.004878246,0.00057442,0.003762832,7.56E-05,0.001079711,0.001654209,3.20E-05,0.000113447,0.003125041,0.003286176,0.000403238,2.06E-06,1.26E-05
2016/2/8,4.32E-06,0.000133869,0.00088986,0.000786337,0.00019788,0.000182148,0.001904837,1.13E-05,0.001574146,0.002794317,0.000494818,0.002185454,0.003686837,0.00069282,0.00276641,2.23E-06,0.00162467,0.004053644,0.000218554,2.05E-05,0.000346471,0.002991657,0.000523081,0.000262318,0.000164679
2016/2/9,0.000183456,1.50E-06,9.27E-06,0.000196868,1.09E-05,8.96E-05,0.001100227,3.69E-06,6.16E-05,0.000139348,0.000381064,7.70E-05,0.000354121,2.58E-08,1.94E-05,0.000269855,0.000147722,8.40E-06,0.000613172,0.000136794,0.000115366,0.000526434,4.21E-05,1.43E-06,0.000180174
2016/2/10,0.001397966,0.000189638,4.50E-05,0.000822835,8.43E-05,0.002776409,8.45E-05,7.16E-05,2.26E-06,0.000346443,0.000294006,0.00169509,0.000625646,0.000501665,0.003079223,9.22E-08,9.98E-05,0.000841885,0.00050431,1.15E-05,0.000240825,0.000385968,4.69E-07,1.43E-06,9.96E-05
2016/2/11,7.22E-05,0.000206873,0.000124815,0.000122725,0.001728909,2.17E-05,0.000284476,0.000655533,0.000282566,0.003050882,0.000637072,8.43E-05,0.000111879,0.00029827,7.68E-06,5.14E-05,6.16E-06,0.00066777,0.000186204,0.000141013,0.000122323,0.000626307,4.57E-05,0.000536087,0.000152325
2016/2/12,1.38E-05,0.000115697,0.000226431,0.000573518,0.001858953,0.000910876,0.000392974,0.000135674,0.000968657,0.005967826,0.001730712,0.003014419,0.001417877,2.55E-08,0.000815741,0.000171092,0.000379723,0.002485267,0.001869713,0.000209458,0.000304698,0.001867352,9.91E-05,0.00058649,0.000155217
2016/2/16,0.000594328,0.000563444,0.000186578,0.000495324,0.000756027,0.000884101,0.00034544,6.49E-05,0.000182995,0.000735896,8.15E-05,0.001084739,4.46E-07,1.63E-06,0.006753615,1.80E-05,0.000315826,0.002184114,0.002295303,6.71E-06,0.000102996,0.000644494,0.000358997,0.001864968,0
2016/2/17,0.00018916,0.000630554,0.000252096,0.000487876,3.04E-06,0.001409696,0.000226828,2.69E-08,0.000666012,0.005198897,0.0018223,0.000219485,0.001512158,0.000523689,0.001638657,1.01E-05,0.000873989,0.001384043,0.000341227,2.53E-06,0.002397225,0.00110084,0.000493156,0.000854459,0.000471864
2016/2/18,7.16E-06,2.36E-06,2.29E-05,4.89E-05,0.000250505,0.000265397,3.89E-05,0.000477614,0.00014122,0.000271079,0.001396157,0.000847634,0.000523382,4.07E-05,1.88E-05,0.000934134,1.89E-07,0.00055978,0.000530254,0.000149957,0.000158165,0.000339005,1.46E-05,0.000394202,2.80E-05
2016/2/19,7.52E-05,0,1.17E-05,0.000123147,5.78E-07,2.92E-05,8.25E-05,7.54E-05,6.80E-05,0.002775797,0.000359479,0.000421041,0.001957382,0.000119073,5.79E-05,7.03E-05,3.03E-06,2.33E-05,0.000694875,2.47E-06,0.000177406,0.00027172,7.52E-05,3.57E-06,2.99E-06
2016/2/22,0.000807915,5.85E-05,0.000170422,0.000218164,0.000373471,0.000531791,2.19E-05,0.000227078,0.000220438,0.000940797,1.53E-05,0.000235203,7.70E-05,0.000266463,0.000235371,0.000221719,0.00025123,3.10E-05,0.000661006,1.70E-05,0.000370414,0.00010797,0.000411908,0.000766441,9.71E-05
2016/2/23,0.000386227,4.47E-05,5.60E-05,0.000187507,0.001182688,0.000823706,0.000288301,2.05E-06,0.000347076,0.000991765,0.00051478,0.000309774,0.000174106,7.79E-05,6.43E-05,0.000165587,0.000224382,5.33E-05,3.80E-05,7.49E-05,0.001232832,0.001822985,0.000122281,6.00E-08,1.60E-05
2016/2/24,1.57E-05,2.87E-05,0.000126663,5.29E-05,0.000123739,8.57E-06,1.15E-05,1.58E-05,2.74E-05,0.000571781,4.02E-07,0.00180863,0.000106433,4.75E-06,0.000288696,9.18E-05,0.000237412,0.000411671,0.000310865,1.40E-05,0.000495414,0.000300015,6.72E-05,2.40E-07,9.58E-06
